Audio_UMAP_X,Audio_UMAP_Y,Audio_UMAP_Z,Volume,Pitch
8.453906059265136719e+00,8.291782379150390625e+00,3.965102434158325195e+00,9.004514664411544800e-03,2.019449348698045696e+03
8.537100791931152344e+00,8.335577964782714844e+00,3.938021421432495117e+00,9.452221915125846863e-03,2.019182240787812816e+03
8.567786216735839844e+00,8.351414680480957031e+00,3.930922269821166992e+00,9.405312128365039825e-03,2.014675176471272607e+03
8.605471611022949219e+00,8.426887512207031250e+00,3.932640075683593750e+00,7.429150398820638657e-03,1.260599577009197958e+02
9.212496757507324219e+00,1.011716651916503906e+01,3.932671546936035156e+00,7.606623228639364243e-03,6.523668639053254026e+01
9.123333930969238281e+00,1.021132755279541016e+01,4.002667427062988281e+00,7.387598045170307159e-03,6.523668639053254026e+01
9.142989158630371094e+00,1.014826011657714844e+01,3.960721015930175781e+00,7.776225451380014420e-03,6.523668639053254026e+01
9.111339569091796875e+00,1.027881145477294922e+01,4.046676158905029297e+00,8.057913742959499359e-03,6.753147196441334188e+01
8.792878150939941406e+00,8.282795906066894531e+00,3.895273208618164062e+00,7.812445517629384995e-03,7.071646419173174536e+01
9.494410514831542969e+00,5.657037258148193359e+00,3.956342458724975586e+00,7.800912950187921524e-03,6.980267899386856811e+01
9.616881370544433594e+00,5.879939556121826172e+00,4.090723991394042969e+00,7.672774139791727066e-03,7.735838771340814901e+01
1.008907318115234375e+01,6.929019927978515625e+00,4.515481948852539062e+00,8.113400079309940338e-03,1.258362369998882428e+02
1.007050228118896484e+01,9.883169174194335938e+00,6.206271171569824219e+00,7.686074823141098022e-03,7.836911893552846209e+01
1.019589233398437500e+01,9.789764404296875000e+00,6.226161479949951172e+00,8.218675851821899414e-03,1.293653501535266628e+02
1.028013706207275391e+01,9.723237037658691406e+00,6.197810649871826172e+00,8.440074510872364044e-03,1.292458983537196673e+02
1.024674892425537109e+01,9.741943359375000000e+00,6.175714492797851562e+00,8.288924582302570343e-03,1.334315106535138682e+02
1.007639789581298828e+01,9.812325477600097656e+00,6.173286914825439453e+00,8.110996335744857788e-03,1.331174679905466860e+02
1.022812938690185547e+01,9.769313812255859375e+00,6.165419101715087891e+00,8.657125756144523621e-03,1.287930392913374078e+02
1.027167892456054688e+01,9.762654304504394531e+00,6.144673347473144531e+00,7.958738133311271667e-03,1.249308940473104599e+02
9.589813232421875000e+00,1.052274513244628906e+01,5.962158203125000000e+00,7.666534744203090668e-03,1.880556606336999437e+02
9.358431816101074219e+00,1.083399581909179688e+01,5.586407184600830078e+00,8.255101740360260010e-03,7.301155694049566591e+01
1.024949932098388672e+01,9.792643547058105469e+00,6.083688259124755859e+00,6.913915276527404785e-03,1.280099701288779386e+02
1.018714046478271484e+01,9.921675682067871094e+00,5.995090484619140625e+00,6.919659674167633057e-03,7.350184523244898571e+01
9.256050109863281250e+00,1.095041942596435547e+01,5.484467983245849609e+00,8.617199026048183441e-03,1.234066016654699922e+02
9.182009696960449219e+00,1.099476623535156250e+01,5.329762458801269531e+00,8.657060563564300537e-03,1.997420386177127796e+02
8.990177154541015625e+00,1.038369464874267578e+01,4.115247726440429688e+00,9.297885932028293610e-03,1.934081305350611899e+02
8.972878456115722656e+00,1.037406730651855469e+01,4.056333065032958984e+00,1.092400960624217987e-02,1.934930300685689986e+02
8.954054832458496094e+00,1.039104557037353516e+01,4.067817211151123047e+00,1.113033853471279144e-02,2.205000000000000000e+03
8.950262069702148438e+00,1.039780235290527344e+01,4.053018093109130859e+00,1.106026303023099899e-02,2.205000000000000000e+03
8.947120666503906250e+00,1.040101051330566406e+01,4.058646678924560547e+00,1.052953302860260010e-02,2.061444564619255573e+02
8.991901397705078125e+00,1.042276859283447266e+01,4.032613754272460938e+00,9.316939860582351685e-03,1.208985974491246367e+02
8.979784011840820312e+00,1.041872882843017578e+01,4.075581073760986328e+00,7.346736732870340347e-03,1.190117918483303470e+02
8.960287094116210938e+00,1.038936042785644531e+01,4.076960563659667969e+00,6.798513699322938919e-03,1.167561960930618028e+02
8.955531120300292969e+00,1.035003185272216797e+01,4.069791316986083984e+00,7.806206122040748596e-03,2.298545694484816977e+02
8.991625785827636719e+00,1.042160606384277344e+01,4.213847160339355469e+00,8.308960124850273132e-03,2.389472554915353157e+02
9.152101516723632812e+00,1.080598354339599609e+01,4.802350521087646484e+00,8.833060041069984436e-03,2.160721967416829727e+02
9.156874656677246094e+00,1.098429489135742188e+01,5.180900096893310547e+00,9.748525917530059814e-03,2.142242534352867551e+02
9.144556999206542969e+00,1.103965282440185547e+01,5.299639701843261719e+00,1.068933214992284775e-02,2.094759478322087318e+02
9.149360656738281250e+00,1.103764533996582031e+01,5.314063072204589844e+00,9.813608601689338684e-03,1.969318938446761820e+02
9.137357711791992188e+00,1.103687000274658203e+01,5.315972805023193359e+00,9.440556168556213379e-03,3.246451905394467303e+02
9.165981292724609375e+00,1.102701950073242188e+01,5.306748867034912109e+00,9.678961709141731262e-03,7.065443906982473266e+01
9.142514228820800781e+00,1.102930736541748047e+01,5.316757202148437500e+00,8.599985390901565552e-03,1.766867769792358729e+02
9.130352973937988281e+00,1.102557563781738281e+01,5.313532829284667969e+00,9.029998444020748138e-03,1.304908761700380921e+02
9.825262069702148438e+00,8.424502372741699219e+00,3.743313789367675781e+00,1.031547598540782928e-02,2.205000000000000000e+03
8.197001457214355469e+00,4.404292583465576172e+00,2.939486265182495117e+00,2.515102550387382507e-02,1.904543784595793795e+03
7.380123138427734375e+00,2.457649946212768555e+00,1.689358115196228027e+00,8.885859698057174683e-02,1.732745783354882406e+03
7.048810482025146484e+00,1.473442554473876953e+00,9.538220763206481934e-01,1.273265480995178223e-01,1.672089137905853022e+03
7.797157764434814453e+00,-1.413216710090637207e+00,3.572770953178405762e-01,1.403000354766845703e-01,1.643841769808230083e+03
8.363912582397460938e+00,-2.194718360900878906e+00,8.347364664077758789e-01,1.383231580257415771e-01,1.642885119704791805e+03
8.770633697509765625e+00,-2.237987041473388672e+00,9.327201247215270996e-01,1.088771373033523560e-01,1.586411747217636730e+03
8.985089302062988281e+00,-1.617735266685485840e+00,1.305481433868408203e+00,5.955187976360321045e-02,1.150730143070482200e+03
8.747105598449707031e+00,6.040762424468994141e+00,3.539181947708129883e+00,1.182787958532571793e-02,1.719706320824473323e+03
-4.269503355026245117e-01,4.959658622741699219e+00,3.728032588958740234e+00,2.942315489053726196e-02,1.862730203696618673e+03
-9.227541685104370117e-01,5.124881744384765625e+00,3.736175298690795898e+00,3.965048119425773621e-02,1.837406042304321090e+03
